CLUTCH_NUMBER	MALE	FEMALE	REGION	POPULATION	DATE_OF_HATCH	DATE_CTMAX	AGE_DAYS	TRAY_COL	DEV_TEMP	TANK	REP	EXP_TANK	TRAY_ORD	LENGTH	MASS	RAMP_START_TIME	LOE_TIME	LOE_mean_JMD	LOE_TEMP_SENSOR	LOE_TEMP_HOBO	TEMP_DIFF	SURVIVAL_TIME	HOBO_OFFSET	LOE_TEMP_HOBO_ACTUAL	FIL_TEMP_DIFF	LOE_MEAN_EAS	EXPERIMENT	NOTES		
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	11/07/2023	128		31.5	123	2			30.20	1.1254	1:18:00 PM	7:36:00 PM					6:18:00				37.200	Resp			
110	CPRE453	CPRE459	core	Pretty Patches	7/03/2023	12/07/2023	127	blue	31.5	325	2	2	1	30.43	1.2479	12:13:52 PM	6:26:00 PM			37.261		6:12:08	0.057	37.204		37.204	CTmax			
110	CPRE453	CPRE459	core	Pretty Patches	7/03/2023	12/07/2023	127	blue	31.5	325	2	2	2	32.80	1.6990	12:13:52 PM	6:27:00 PM			37.261		6:13:08	0.057	37.204		37.204	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	13/07/2023	114	white	30	154	1	5	1	30.59	1.1126	11:50:15 AM	6:06:00 PM		37.2	37.261	0.06	6:15:45	0.006	37.255	0.055	37.228	CTmax			
110	CPRE453	CPRE459	core	Pretty Patches	7/03/2023	12/07/2023	127	white	30	151	2	2	5	27.30	0.8234	12:13:52 PM	6:29:00 PM			37.288		6:15:08	0.057	37.231		37.231	CTmax			
110	CPRE453	CPRE459	core	Pretty Patches	7/03/2023	12/07/2023	127	white	30	151	2	2	4	33.24	1.6598	12:13:52 PM	6:29:00 PM			37.288		6:15:08	0.057	37.231		37.231	CTmax			
110	CPRE453	CPRE459	core	Pretty Patches	7/03/2023	13/07/2023	128	red	31.5	360	1	2	4	32.87	1.5385	11:50:15 AM	6:02:00 PM		37.3	37.261	-0.04	6:11:45	0.000	37.261	-0.039	37.281	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	13/07/2023	114	white	30	154	1	5	3	30.70	1.2019	11:50:15 AM	6:09:00 PM		37.3	37.315	0.02	6:18:45	0.006	37.309	0.009	37.305	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	13/07/2023	114	white	30	154	1	5	4	34.22	1.5605	11:50:15 AM	6:09:00 PM		37.3	37.315	0.02	6:18:45	0.006	37.309	0.009	37.305	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	13/07/2023	114	white	30	154	1	5	2	34.08	1.6204	11:50:15 AM	6:09:00 PM		37.3	37.315	0.02	6:18:45	0.006	37.309	0.009	37.305	CTmax			
110	CPRE453	CPRE459	core	Pretty Patches	7/03/2023	12/07/2023	127	blue	31.5	325	2	2	4	33.06	1.5984	12:13:52 PM	6:32:00 PM		37.3	37.370	0.07	6:18:08	0.057	37.313	0.013	37.307	CTmax			
110	CPRE453	CPRE459	core	Pretty Patches	7/03/2023	12/07/2023	127	blue	31.5	325	2	2	5	34.44	1.8546	12:13:52 PM	6:32:00 PM		37.3	37.370	0.07	6:18:08	0.057	37.313	0.013	37.307	CTmax			
110	CPRE453	CPRE459	core	Pretty Patches	7/03/2023	13/07/2023	128	red	31.5	360	1	2	2	34.11	1.5625	11:50:15 AM	6:07:00 PM		37.4	37.343	-0.06	6:16:45	0.000	37.343	-0.057	37.372	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	13/07/2023	114	blue	28.5	140	2	5	5	35.64	1.7131	11:50:15 AM	6:12:00 PM		37.4	37.370	-0.03	6:21:45	0.006	37.364	-0.036	37.382	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	13/07/2023	114	red	31.5	326	2	5	5	32.67	1.4432	11:50:15 AM	6:13:00 PM		37.4	37.398	0.00	6:22:45	0.006	37.392	-0.008	37.396	CTmax			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	13/07/2023	130	red	31.5	159	1	6	3	37.40	2.3190	11:50:15 AM	6:16:00 PM		37.5	37.370	-0.13	6:25:45	0.055	37.315	-0.185	37.408	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	11/07/2023	112		30	154	1			31.25	1.0558	1:18:00 PM											Resp			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	16/06/2023	120		28.5	340	2			35.11	1.5542	12:00:00 PM	5:59:00 PM					5:59:00				36.900	Resp			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	6/06/2023	110	blue	28.5	340	2	6	2	27.30	0.8088	10:33:39 AM	5:05:00 PM			36.987		6:31:21	0.007	36.980		36.980	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	6/06/2023	110	blue	28.5	340	2	6	3	30.03	1.0628	10:33:39 AM	5:05:00 PM			36.987		6:31:21	0.007	36.980		36.980	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	6/06/2023	110	blue	28.5	340	2	6	4	31.70	1.2328	10:33:39 AM	5:05:00 PM			36.987		6:31:21	0.007	36.980		36.980	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	6/06/2023	110	blue	28.5	340	2	6	1	33.13	1.3884	10:33:39 AM	5:05:00 PM			36.987		6:31:21	0.007	36.980		36.980	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	9/06/2023	113	blue	28.5	143	1	2	4	28.52	0.9510	11:33:47 AM	5:34:00 PM	37.02	37.0	37.042	0.04	6:00:13	0.076	36.966	-0.034	36.983	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	9/06/2023	113	blue	28.5	143	1	2	3	28.73	1.0214	11:33:47 AM	5:33:00 PM	37.02	37.0	37.042	0.04	5:59:13	0.076	36.966	-0.034	36.983	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	9/06/2023	113	blue	28.5	143	1	2	2	29.89	1.0515	11:33:47 AM	5:33:00 PM	37.02	37.0	37.042	0.04	5:59:13	0.076	36.966	-0.034	36.983	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	9/06/2023	113	white	30	150	1	2	1	24.87	0.5790	11:33:47 AM	5:33:00 PM	37.02	37.0	37.042	0.04	5:59:13	0.076	36.966	-0.034	36.983	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	9/06/2023	113	blue	28.5	143	1	2	1	30.68	1.2205	11:33:47 AM	5:37:00 PM	37.05	37.0	37.096	0.10	6:03:13	0.076	37.020	0.020	37.010	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	9/06/2023	113	white	30	150	1	2	2	36.89	2.0523	11:33:47 AM	5:37:00 PM	37.05	37.0	37.096	0.10	6:03:13	0.076	37.020	0.020	37.010	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	9/06/2023	113	blue	28.5	143	1	2	5	25.44	0.7241	11:33:47 AM	5:39:00 PM	37.09	37.1	37.124	0.07	6:05:13	0.076	37.048	-0.002	37.049	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	16/06/2023	120		31.5	358	2			30.63	1.1013	12:00:00 PM	6:05:00 PM					6:05:00				37.100	Resp			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	9/06/2023	113	white	30	150	1	2	5	28.19	0.9565	11:33:47 AM	5:45:30 PM	37.16	37.1	37.220	0.12	6:11:43	0.076	37.144	0.044	37.122	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	9/06/2023	113	white	30	150	1	2	4	32.73	1.3606	11:33:47 AM	5:45:30 PM	37.16	37.1	37.220	0.12	6:11:43	0.076	37.144	0.044	37.122	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	9/06/2023	113	white	30	150	1	2	3	37.50	2.2504	11:33:47 AM	5:45:30 PM	37.16	37.1	37.220	0.12	6:11:43	0.076	37.144	0.044	37.122	CTmax			
